230913_ORL_GCaMP6f_F1,230913_ORL_GCaMP6f_F2,230914_ORL_GCaMP6f_F1,230914_ORL_GCaMP6f_F2,230915_ORL_GCaMP6f_F1,230913_U52_GCaMP6f_F2,230913_U52_GCaMP6f_F3,230914_U52_GCaMP6f_F1,230914_U52_GCaMP6f_F2,230915_U52_GCaMP6f_F2,230913_FCV_GCaMP6f_F1,230914_FCV_GCaMP6f_F1,230914_FCV_GCaMP6f_F2,230914_FCV_GCaMP6f_F3,230915_FCV_GCaMP6f_F1
-9.398889e-05,-0.00011309815,7.858083e-05,-6.3430593e-07,-0.00019622478,-0.0001421855,-0.00055250624,-0.0010460799,-0.0006278277,-0.00036205733,-0.00013915527,-0.0006308703,0.0002720642,-0.00019911052,0.0004714212
6.9386966e-05,0.00018363576,6.885381e-05,-0.00043124697,-0.00018943346,-0.00025615073,-0.0005787934,-0.00028919693,-0.0008208267,-0.00093098264,-0.00013728761,-8.700607e-05,-0.0002594061,0.00016160746,0.00020018057
0.00021524227,0.00033443727,0.00019155085,-0.00010115135,-0.00026289988,-0.00025241514,-0.0008362443,-0.00012832471,-0.00074203743,-0.0011023824,-0.00024197233,-0.00045708567,-0.0005630726,0.0002428975,-0.00022275285
0.00017413807,9.6939795e-05,0.000108193715,-0.00017262231,-0.00049963506,-0.00026169678,-0.00071759004,-3.2840784e-05,-0.0012678612,-0.0006347981,-0.00036998038,0.00029365032,-0.00053758256,0.0001774813,-0.00025096704
0.00018682264,0.00064374093,-2.3794006e-05,-0.0004741758,-0.00028279374,-0.00030317905,-0.00081949646,2.8012939e-05,-0.0014064659,-0.001414761,-0.00013857694,0.00012135465,-0.00056032435,0.0001856951,-0.0005396771
-0.00020895184,0.00056290557,-4.5245176e-07,-0.00013297398,-0.00045231023,-0.00011188344,-0.0008659526,-0.00018930354,-0.0014283943,-0.0011737306,-0.00024273407,-0.00015238873,-0.00065401365,0.00028418467,-0.00041919152
2.6147887e-05,0.00027399475,0.00017665217,-0.00023571447,-0.00040797377,-0.00021715219,-0.0006867711,-0.00057395024,-0.002592333,-0.0011901684,5.891733e-05,0.00019857967,-0.00058709696,0.0005473383,-0.00051135186
0.00041675646,0.00071275374,-0.000260541,-0.00034652653,-0.00022017585,-0.00014886555,-0.0008552354,-0.00038492066,-0.0022455829,-0.0012280776,5.0301027e-05,-0.00069433876,-0.00063913694,0.0005552395,-0.00039979906
-0.00032742083,0.00048808224,0.00028060187,-0.00020685582,-0.0006244494,-0.00012296149,-0.00073790975,-0.00090201927,-0.0021936207,-0.0013213068,7.441472e-05,-6.986176e-05,-0.00056639715,0.0007778012,-0.0002471677
-3.5472433e-05,0.00032352912,9.044373e-05,-0.00034726682,-0.00022898898,-0.00029824534,-0.0007333321,-0.0007781018,-0.0020457646,-0.00037149768,4.5359167e-05,-0.00026080853,-0.0003315652,0.0014580213,8.194394e-05
-9.5571355e-05,0.0005034495,0.0008150666,0.00074250135,-2.3704211e-05,-3.1591437e-05,7.306529e-05,-0.00032667033,-0.002154651,-0.00015624866,0.00019001207,-0.0012646943,0.00042524765,0.0017395475,0.0005691532
3.3007796e-05,0.00087926676,0.0008245559,0.00032027092,-0.00017088442,0.0005340856,0.00010980027,0.00010554648,-0.00018114928,0.00076634815,0.00032541435,0.0008060033,0.00078656495,0.0016944464,0.0009024484
0.00020246395,0.000104174826,0.0010385505,0.00065748516,-0.00023982668,0.0007368896,0.00030627055,0.0017859074,0.00023918941,0.0017835996,0.00034879328,0.0014411517,0.001288249,0.002450806,0.0010765849
-0.0002697237,0.0001589303,0.0006428646,0.0014046638,-0.00031116905,0.0007332267,0.0006822393,0.00200613,0.0011300342,-0.0002941282,0.000522088,0.0020447671,0.0014345191,0.002790115,0.000977466
-0.00018514426,0.0002263862,0.00022836367,0.0026464667,-0.00050743873,0.0014604712,0.0005087567,0.0024617063,0.0016511941,-0.0018330675,0.00056332507,0.0015587558,0.0015785635,0.0029065053,0.0004878733
6.0209695e-06,0.00036202662,0.000781535,0.0017688046,-0.00050059444,0.00047632842,0.00033920977,0.0021030412,0.0019528691,-0.0023980378,0.00059570104,0.0018038775,0.0018648291,0.0028729467,0.000924123
-0.00023699924,0.00046295588,0.00045782878,0.0016359638,-0.00077012,0.001146999,0.00036686612,0.0019573306,0.0022254959,-0.0040022135,0.0004769841,0.0014410912,0.0024474973,0.0029165614,0.0008873013
-0.00021159087,0.0007669053,0.0008921671,0.0006237349,-0.0005673417,-5.131566e-05,0.00025243816,0.001381793,0.0017995584,-0.0049772384,0.00070880674,0.0008765645,0.0025607958,0.0035476258,0.0008239313
9.378993e-05,0.0003532217,0.0006454668,0.0011420884,-0.00046707928,4.7278147e-05,-4.894579e-05,0.0012541271,0.002065078,-0.0045620613,0.00047039744,0.00083438965,0.002807344,0.0038303693,0.0010217316
0.00023573822,0.00068873644,0.0001610538,0.0016151103,-0.00028300125,-0.0002714214,-0.00012660613,0.0005835113,0.0020963373,-0.0051081306,0.00046066986,0.000838357,0.0024555693,0.0036788862,0.00056366075
