sample	subpop	trial	odor	peak_value
230914_FCV_GCaMP6f_F1	FCV	1	octanal4.58	0.008847656
230914_FCV_GCaMP6f_F1	FCV	2	octanal4.58	0.0070044
230914_FCV_GCaMP6f_F2	FCV	1	octanal4.58	0.009684248
230914_FCV_GCaMP6f_F2	FCV	2	octanal4.58	0.0038652127
230914_FCV_GCaMP6f_F3	FCV	1	octanal4.58	0.010383213
230914_FCV_GCaMP6f_F3	FCV	2	octanal4.58	0.0054988423
230915_FCV_GCaMP6f_F1	FCV	1	octanal4.58	0.007177688
230915_FCV_GCaMP6f_F1	FCV	2	octanal4.58	0.0038848463
230913_ORL_GCaMP6f_F1	ORL	1	octanal4.09	0.0004984657
230913_ORL_GCaMP6f_F1	ORL	2	octanal4.09	0.00054245454
230913_ORL_GCaMP6f_F2	ORL	1	octanal4.09	0.0022656817
230913_ORL_GCaMP6f_F2	ORL	2	octanal4.09	0.0023825725
230914_ORL_GCaMP6f_F1	ORL	1	octanal4.09	0.008025977
230914_ORL_GCaMP6f_F1	ORL	2	octanal4.09	0.008155728
230914_ORL_GCaMP6f_F2	ORL	1	octanal4.09	0.0040924544
230914_ORL_GCaMP6f_F2	ORL	2	octanal4.09	0.0042849085
230915_ORL_GCaMP6f_F1	ORL	1	octanal4.09	0.0016322971
230915_ORL_GCaMP6f_F1	ORL	2	octanal4.09	0.00082803116
230913_U52_GCaMP6f_F2	U52	1	octanal4.09	0.0038673459
230913_U52_GCaMP6f_F2	U52	2	octanal4.09	0.000867294
230913_U52_GCaMP6f_F3	U52	1	octanal4.09	0.0054176054
230913_U52_GCaMP6f_F3	U52	2	octanal4.09	0.0024946232
230914_U52_GCaMP6f_F1	U52	1	octanal4.09	0.007957665
230914_U52_GCaMP6f_F1	U52	2	octanal4.09	0.0032357941
230914_U52_GCaMP6f_F2	U52	1	octanal4.09	0.0027731778
230914_U52_GCaMP6f_F2	U52	2	octanal4.09	0.0009432385
230915_U52_GCaMP6f_F2	U52	1	octanal4.09	0.0025184902
230915_U52_GCaMP6f_F2	U52	2	octanal4.09	0.0031832634
230913_FCV_GCaMP6f_F1	FCV	1	octanal4.09	0.00079547527
230913_FCV_GCaMP6f_F1	FCV	2	octanal4.09	0.0005772364
230914_FCV_GCaMP6f_F1	FCV	1	octanal4.09	0.006330096
230914_FCV_GCaMP6f_F1	FCV	2	octanal4.09	0.0039114715
230914_FCV_GCaMP6f_F2	FCV	1	octanal4.09	0.0056759585
230914_FCV_GCaMP6f_F2	FCV	2	octanal4.09	0.0020924616
230914_FCV_GCaMP6f_F3	FCV	1	octanal4.09	0.0069395425
230914_FCV_GCaMP6f_F3	FCV	2	octanal4.09	0.0028889833
230915_FCV_GCaMP6f_F1	FCV	1	octanal4.09	0.003528634
230915_FCV_GCaMP6f_F1	FCV	2	octanal4.09	0.0019983365
230913_ORL_GCaMP6f_F1	ORL	1	octanal3.525	0.0004203851
230913_ORL_GCaMP6f_F1	ORL	2	octanal3.525	0.00039569018
